spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms,artist,song,album_name,lang,genres,tags
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Demon Days,Demon Days,en,electronic,"alternative,electronic,gorillaz,indie"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc,Demon Days,en,"electronic,rock,electronic","alternative,electronic,hip-hop,rock,gorillaz,alternative,electronic,hip-hop"
0d28khcov6AiegSCpG5TuT,77.0,2005,0.818,0.705,6.0,1.0,0.772,0.5704293483406957,222640,Gorillaz,Feel Good Inc.,Demon Days,en,"electronic,rock","alternative,electronic,hip-hop,rock,gorillaz"
1eeQoBQzElzDNVcNm5h0uY,29.0,2001,0.8220000000000001,0.701,6.0,0.0,0.7829999999999999,0.41172402152299475,243800,India.Arie,Part Of My Life,Acoustic Soul,en,soul,"neo-soul,soul,female vocalists,india arie"
38casNXY2G39SZRUjALtcY,37.0,2011,0.818,0.71,10.0,1.0,0.7909999999999999,0.6009394696648456,216547,Britney Spears,How I Roll,Femme Fatale (Deluxe Version),en,"pop,electronic,electropop","pop,electronic,kick,electropop,bloodshy and avant,idm"
4d0vE1xdSwNlOXsZOJXjJv,26.0,2017,0.8170000000000001,0.711,1.0,1.0,0.789,0.4940531817227453,264612,Laurel Halo,Moontalk,Dust,en,"electronic,experimental,abstract","electronic,experimental,abstract,sun and moon and stars and outer space,sun and moon and stars and outer"
4RB3bUNQugfmInfNAO1Cqa,3.0,2016,0.8079999999999999,0.7090000000000001,9.0,0.0,0.757,0.5640317328316241,185410,El Guincho,Pelo Rapado,Hiperasia,es,"experimental,electronic","experimental,2016,electronic,spanish,tropicalia,psychedelic"
6JNJERZGJwDVgkmbohBw7u,67.0,1984,0.8140000000000001,0.6859999999999999,6.0,0.0,0.779,0.4391876592713964,246440,Laura Branigan,Self Control,Self Control,en,pop,"80s,pop,female vocalists,dance"
2YJCB6vdjfN4Rbso39FHDx,28.0,2018,0.823,0.682,8.0,1.0,0.7759999999999999,0.33955941260503164,191688,Marco Mengoni,Buena Vida,Buena Vida,es,"pop,italian pop","pop,italian,x factor,italian pop,italians do it better"
1wxjIhZIcFq3Rrk0zsxHp8,55.0,2018,0.82,0.723,10.0,0.0,0.785,0.3951700884715298,201227,Ozuna,Aunque Me Porte Mal,Aura,es,reggaeton,"reggaeton,puerto rico"
